Name,Common_name,Taxon_id,Latitude,Longitude,Group
Ostrocerca dimicki,Hooked Forestfly,176218,48.4639,-123.4757,Stoneflies
Ostrocerca foersteri,Cascades Forestfly,176219,49.5,-119.6,Stoneflies
Ostrocerca prolongata,Bent Forestfly,176220,49.5,-119.6,Stoneflies
Ostrocerca truncata,Truncate Forestfly,176221,49.5,-119.6,Stoneflies
Paranemoura claasseni,Boreal Forestfly,227050,49.5,-119.6,Stoneflies
Paranemoura perfecta,Spotted Forestfly,227051,45.25029,-79.90118,Stoneflies
Podmosta macdunnoughi,Maritime Forestfly,228451,48.857,-64.376,Stoneflies
Podmosta weberi,Holarctic Forestfly,228453,53.616,-132.016,Stoneflies
Prostoia completa,Central Forestfly,228838,43.77,-80.06,Stoneflies
Soyedina interrupta,Broken Forestfly,231235,49.5,-119.6,Stoneflies
Soyedina potteri,Rocky Mountain Forestfly,231239,49.5,-119.6,Stoneflies
Soyedina producta,Knobbed Forestfly,231240,49.5,-119.6,Stoneflies
Soyedina washingtoni,Vernal Forestfly,231242,49.5,-119.6,Stoneflies
Visoka cataractae,Cataract Forestfly,233583,49.5,-119.6,Stoneflies
Zapada cordillera,Cordilleran Forestfly,178558,49.5,-119.6,Stoneflies
Zapada haysi,Intermountain Forestfly,178561,49.5,-119.6,Stoneflies
Zapada katahdin,Katahdin Forestfly,178565,53.985541,-60.0,Stoneflies
Peltoperla arcuata,Appalachian Roachfly,227402,49.5,-119.6,Stoneflies
Tallaperla maria,Common Roachfly,232283,49.5,-119.6,Stoneflies
Yoraperla brevis,Least Roachfly,233906,49.5,-119.6,Stoneflies
Yoraperla mariana,Brown Roachfly,233907,49.5,-119.6,Stoneflies
Yoraperla siletz,Coastal Roachfly,233909,49.5,-119.6,Stoneflies
Acroneuria evoluta,Constricted Stone,212407,49.5,-119.6,Stoneflies
Acroneuria frisoni,Central Stone,212410,43.58515,-80.4823,Stoneflies
Acroneuria internata,Lobed Stone,212412,49.5,-119.6,Stoneflies
Agnetina flavescens,Midwestern Stone,212732,43.58515,-80.4823,Stoneflies
Attaneuria ruralis,Giant Stone,214607,49.5,-119.6,Stoneflies
Doroneuria baumanni,Cascades Stonefly,173750,49.5,-119.6,Stoneflies
Doroneuria theodora,Montana Stone,173746,51.5,-116.25,Stoneflies
Neoperla clymene,Coastal Stone,225680,49.5,-119.6,Stoneflies
Neoperla mainensis,Maine Stone,225687,41.75593,-82.68834,Stoneflies
Neoperla occipitalis,Atlantic Stone,225688,49.5,-119.6,Stoneflies
Neoperla stewarti,Multispine Stone,225691,49.5,-119.6,Stoneflies
Perlesta dakota,Dakota Stone,227488,49.5,-119.6,Stoneflies
Perlesta decipiens,Widespread Stone,227489,46.3511,-72.6015,Stoneflies
Perlesta ephelida,Freckled Stone,453625,49.5,-119.6,Stoneflies
Perlesta lagoi,Gulf Stone,227495,49.5,-119.6,Stoneflies
Perlesta placida,Freckled Stone,227499,49.5,-119.6,Stoneflies
Perlinella drymo,Striped Stone,227506,49.5,-119.6,Stoneflies
Cascadoperla trictura,Cascades Stripetail,216164,49.5,-119.6,Stoneflies
Clioperla clio,Clio Stripetail,217198,43.76,-80.17,Stoneflies
Cultus aestivalis,Summer Springfly,217916,56.76667,-112.5333,Stoneflies
Cultus decisus,Great Lakes Springfly,217917,47.361,-68.33,Stoneflies
Cultus pilatus,Vedder Springfly,217918,49.5,-119.6,Stoneflies
Cultus tostonus,Toston Springfly,217919,49.183334,-119.550003,Stoneflies
Cultus verticalis,Spiny Springfly,217920,49.5,-119.6,Stoneflies
Diura knowltoni,Nearctic Springfly,173848,49.5,-119.6,Stoneflies
Diura nanseni,Arctic Springfly,173849,49.5,-119.6,Stoneflies
Frisonia picticeps,Painted Springfly,220217,49.5,-119.6,Stoneflies
Isogenoides doratus,Indiana Springfly,222336,49.5,-119.6,Stoneflies
Isogenoides elongatus,Elongate Springfly,222337,49.5,-119.6,Stoneflies
Isogenoides frontalis,Hudsonian Springfly,222338,65.81,-126.2,Stoneflies
Isogenoides hansoni,Appalachian Springfly,222339,46.64729,-60.95408,Stoneflies
Isogenoides zionensis,Zion Springfly,222342,49.5,-119.6,Stoneflies
Isoperla citronella,,454874,49.5,-119.6,Stoneflies
Isoperla decepta,Yellow Stripetail,222380,49.5,-119.6,Stoneflies
Isoperla decolorata,Bearlake Stripetail,222381,49.5,-119.6,Stoneflies
Isoperla dicala,Sable Stripetail,222383,49.5,-119.6,Stoneflies
Isoperla francesca,Northeastern Stripetail,222386,49.5,-119.6,Stoneflies
Isoperla frisoni,Wisconsin Stripetail,222387,46.54714,-84.14266,Stoneflies
Isoperla fulva,Western Stripetail,222388,54.458,-122.722,Stoneflies
Isoperla fusca,Waterton Stripetail,222389,57.13334,-111.6,Stoneflies
Isoperla gibbsae,Quebec Stripetail,222390,49.5,-119.6,Stoneflies
Isoperla holochlora,Pale Stripetail,222392,49.5,-119.6,Stoneflies
Isoperla lata,Dark Stripetail,222397,49.5,-119.6,Stoneflies
Isoperla longiseta,Plains Stripetail,222399,49.5,-119.6,Stoneflies
