taxon_id,Name,Common name,Latitude,Longitude
1596243,Ctenomys uco,Ctenomys uco,,
1596244,Ctenomys pulcer,Ctenomys pulcer,,
1596245,Ctenomys miguelchristie,Ctenomys miguelchristie,,
1596246,Ctenomys eileenae,Ctenomys eileenae,,
1596247,Heliophobius kapiti,Heliophobius kapiti,,
1596248,Dolichotis salinicola,Dolichotis salinicola,,
1596249,Sylvilagus yucatanicus,Sylvilagus yucatanicus,,
1596250,Sylvilagus hondurensis,Sylvilagus hondurensis,,
1596251,Lepus schlumbergeri,Lepus schlumbergeri,35.900002,-5.38
1596253,Lepus mediterraneus,Lepus mediterraneus,,
1596254,Xanthonycticebus intermedius,Xanthonycticebus intermedius,,
1596255,Saguinus subgrisescens,Saguinus subgrisescens,,
1596257,Lophocebus ugandae,Lophocebus ugandae,,
1596260,Lophocebus johnstoni,Lophocebus johnstoni,,
1567862,Philander nigratus,Black Four-eyed Opossum,,
1431232,Akodon oenos,Monte Grass Mouse,-32.807123,-68.67501
1553233,Otohylomys megalotis,Long-eared Gymnure,,
1370861,Dyacopterus rickarti,Philippine Large-headed Fruit Bat,,
