sequence,taxon_id,Name,Common name,Latitude,Longitude,type locality
2314,116519,Chilorhinophis butleri,Butler's Two-headed Snake,4.1992,31.559,Type locality: from Mongalla in the southern Sudan
2551,31709,Chirindia ewerbecki,Mbanja Worm Lizard,-8.7167,39.0833,"Type locality: “Banja, 3 Stunden nördlich von Lindi, Deutsch-Ostafrika, an einer Meeresbucht” [= Mbanja, near Lindi, Tanzania]"
2549,31714,Chirindia mpwapwaensis,Mpwapwa Worm Lizard,-6.4,35.4,"Type locality: Mpwapwa, Ugogo, Tanzania."
1499,31715,Chirindia rondoensis,Nchingidi Worm Lizard,-10.6281,39.2884,"Type locality: Nchingidi, Rondo Plateau, Lindi District, Tanzania."
1236,73715,Chironius vincenti,St Vincent Blacksnake,13.2528,-61.1982,Type locality: St. Vincent.
2948,27198,Clelia hussami,Clelia hussami,-26.0167,-51.3333,"Type locality: município de Cruz Machado (26° 01’ S, 51° 20’ W, elevation 940 m), estado de Paraná, Brazil."
1479,558851,Cnemaspis aceh,Aceh Round-eyed Gecko,4.6686,96.0089,"Type locality: Krueng Teunom, Sarah Raya Village, Aceh Jaya, Aceh, Indonesia, 67 m (4°40’ 07’’ N, 96°00’ 32’’ E), "
2724,1439485,Cnemaspis agayagangai,Cnemaspis agayagangai,11.264,78.3925,"Type locality: near Agaya Gangai waterfalls (11.2640°N, 78.3925°E; ca. 860 m asl.), Kolli hills, Namakkal district, Tamil Nadu state, India."
1871,1031594,Cnemaspis amba,Amba Dwarf Gecko,16.928,73.796,"Type locality: near Kokan Darshan Point, Manoli vil- lage, near Amba (16.928° N 73.796° E; ca. 820 m asl.), Kolhapur District, Maharashtra, India"
772,558852,Cnemaspis andalas,Cnemaspis andalas,0.3405,100.07283,"Type locality: Rimbo Panti, West Sumatra, Indonesia, 296 m elevation (0.3405°N, 100.07283°E), "
246,33418,Cnemaspis argus,Mount Lawit Round-eyed Gecko,5.0072,102.5595,"Type locality: 790 m on the east ridge of G. Lawit” (Terengganu, Peninsular Malaysia)"
1531,1304823,Cnemaspis balerion,Balerion Forest Gecko,13.45,75.751,"Type locality: Dattathreyapeeta, Baba Budan Hills, Karnataka (13.450 °N, 75.751°E; 1410 m asl)"
1087,33422,Cnemaspis baueri,Aur Island Round-eyed Gecko,2.45,104.5,"Type locality: Kampung Berhala (02° 27’ N, 104° 30’ E), Pulau Aur, Johor, West Malaysia."
1558,98022,Cnemaspis bayuensis,Bayu Cave Round-eyed Gecko,5.09417,102.22108,"Type locality: 120 m from Gua Bayu, Kelantan, Peninsular Malaysia (05°05.650 N, 102°13.265 E)."
1488,539474,Cnemaspis bidongensis,Pulau Bidong Round-eyed Gecko,5.620017,103.054067,"Type locality: Pulau Bidong, Terengganu, Peninsular Malaysia (5°37.201’ N 103°03.244’ E; 49 m elevation"
234,33416,Cnemaspis boiei,Boie's Round-eyed Gecko,,,Type locality: India
902,1367359,Cnemaspis calderana,Cnemaspis calderana,-0.2031,100.4091,"Type locality: Maninjau caldera, Agam Regency, Sumatera Barat, Sumatra, Indonesia, 600 m a.s.l."
2358,98025,Cnemaspis caudanivea,White-tailed Round-eyed Gecko,9.972366,104.84925,"Type locality: Hon Tre Island, Kien Hai District, Kien Giang Province, Vietnam (09° 58.342’ N, 104° 50.955’ E), 100 m elevation."
1873,98028,Cnemaspis dezwaani,Nias Round-eyed Gecko,1.2167,97.5667,"Type locality: Lelewua (spelt Lelenaea in the past, 01° 13’N; 97° 34’E; elevation 360 m ASL), Sumatera Utara Propinsi, Republic of Indonesia"
1874,1119973,Cnemaspis dissanayakai,Dissanayaka's Day Gecko,7.872931,81.135569,"Type locality: large granite cave in the shaded forest of Dimbulagala, Polonnaruwa District, North-Central Province, Sri Lanka (7.872931°N, 81.135569°E, WGS1984; elevation 129 m"
1875,33444,Cnemaspis dringi,Sarawak Round-eyed Gecko,3.3333,113.4833,"Type locality: Labang Camp (03° 20’N; 113° 29’ E), Bintulu District, Fourth Division, Sarawak, East Malaysia, Borneo."
2723,1439483,Cnemaspis fantastica,Cnemaspis fantastica,11.3192,78.346,"Type locality: near Tree view point, (11.3192°N, 78.3460°E; ca. 1060 m asl.), Kolli Hills, Solakkadu, Namakkal district, Tamil Nadu state, India"
1876,98029,Cnemaspis flavigaster,Orange-bellied Round-eyed Gecko,3.2397,101.6333,"Type locality: canopy walk trail at Forest Research Institute Malaysia (FRIM), state of Selangor, Peninsular Malaysia (3°14’ 23.04” N 101° 37’ 59.80” E)."
1530,1304822,Cnemaspis flavigularis,Cnemaspis flavigularis,9.973,77.245,"Type locality: Mathikettan Shola National Park, Cardemom Hills, Kerala (9.973°N, 77.245°E; ca. 1340 m asl)"
1529,1304821,Cnemaspis galaxia,Galaxy Day Gecko,9.566,77.559,"Type locality: Srivilliputhur, Tamil Nadu (9.566°N, 77.559°E; 290 m asl)"
1879,1031598,Cnemaspis gotaimbarai,Gotaimbara's Day Gecko,7.439517,81.207967,"Type locality: granite cave in Kokagala, Padiyatalawa in Ampara District, Eastern Province, Sri Lanka (7.439517° N, 81.207967° E, WGS1984; elevation 292 m"
1645,1129168,Cnemaspis graniticola,Horsley Dwarf Gecko,13.645,78.403,"Type locality: Horsley Hills (13.645 N, 78.403 E; ca. 1,140 m asl.), Chittoor District, Andhra Pradesh, India."
990,539477,Cnemaspis grismeri,Grismer's Round-eyed Gecko,5.1305,100.9803,"Type locality: Gua Asar, Bukit Kepala Gajah limestone massif, Lenggong, Perak, Malaysia (5°07.53’N, 100°58.82’E) at 78 m elevation."
1528,1304819,Cnemaspis gunawardanai,Gunawardana's Day Gecko,7.05785,80.0481,"Type locality: Pilikuttuwa (7˚03'28.14'' N, 80˚02'53.18'' E; alt. 52 m a.s.l.), Gampaha District, Western Province, Sri Lanka"
95,539478,Cnemaspis hangus,Bukit Hangus Round-eyed Gecko,4.269033,102.222833,"Type locality: Bukit Hangus, Pahang, Peninsular Malaysia (04°16.142’N, 102°13.370’E) at 10 m in elevation"
1728,98032,Cnemaspis harimau,Tiger Round-eyed Gecko,5.8164,100.3981,"Type locality: 601 m elevation from Sungai Badak (=Badak river), Gunung Jerai, Kedah, Peninsular Malaysia (N 05°48′59′′, E 100°23′53′′)."
1880,1127936,Cnemaspis hitihamii,Hitihami's day gecko,6.875428,81.357289,"Type locality: granite cave in Kumaradola, Maragalakanda,
Monaragala District, Uva Province, Sri Lanka (6.875428° N,
81.357289° E, WGS1984; elevation 421 m"
55,889709,Cnemaspis ingerorum,Ingers' Dwarf Gecko,6.3416,81.2666,"Type locality: Sandagala near Tissamaharama, Hambantota District, Southern Sri Lanka, 6.3416°N, 81.2666° E, ~100 m elevation"
1878,98034,Cnemaspis jacobsoni,Simeulue Round-eyed Gecko,2.5833,96.0833,"Type locality: Labuan Badjan, Pulau Simeulue (02° 35’N; 96° 05’E), Aceh Propinsi, Republic of Indonesia"
2499,1474162,Cnemaspis jayaweerai,Cnemaspis jayaweerai,7.5092,81.5198,"Type locality: inside a granite cave, Ethagala mountain, Ampara District, Eastern Province, Sri Lanka (7.5092N, 81.5198 E, WGS1984; elevation 220 m a.s.l."
1693,33439,Cnemaspis jerdonii,Anaimalai Round-eyed Gecko,7.433333,80.833336,Type locality: unknown (fide Wermuth 1965)
