Unobserved Bird,Latitude,Longitude,taxon_id,Common name
Turnix novaecaledoniae,-21.310396,165.414226,1423402,New Caledonian Buttonquail
Cinnyris congensis,1.354,17.451,145172,Congo Sunbird
Amaurornis magnirostris,4.192002,126.781715,72489,Talaud Bush-hen
Guadalcanaria inexpectata,-9.635,160.058,12696,Guadalcanal Honeyeater
Horornis parens,-10.543051,161.93184,339707,Shade Warbler
Zosterops splendidus,-8.084411,156.6002,17496,Ranongga White-eye
Grallaricula cumanensis,10.166533,-63.41162,144218,Sucre Antpitta
Vauriella goodfellowi,7.04225,125.22146,145052,Mindanao Jungle-Flycatcher
Batis poensis,5.353603,-1.382895,8406,Bioko Batis
Gallirallus lafresnayanus,-21.172612,165.449179,387,New Caledonian Rail
Paradisaea decora,-9.58648,150.85435,8181,Goldie's Bird-of-Paradise
Anodorhynchus glaucus,-29.396122,-56.704941,18939,Glaucous Macaw
Humblotia flavirostris,-11.716437,43.310226,13266,Grande Comore Flycatcher
Ploceus batesi,3.473897,10.327649,13828,Bates's Weaver
Aplonis santovestris,-15.355073,166.74684,14962,Mountain Starling
Basileuterus tacarcunae,8.14043,-77.31992,518303,Tacarcuna Warbler
Myioborus albifacies,5.879445,-66.42861,9455,White-faced Redstart
Myioborus pariae,10.669285,-61.94552,9454,Paria Redstart
Philemon eichhorni,-3.27489,151.93044,12344,New Ireland Friarbird
Colluricincla discolor,-11.4393,153.3741,1286866,Tagula Shrikethrush
Aplonis brunneicapillus,-9.623859,160.29169,72513,White-eyed Starling
Erythrotriorchis buergersi,-8.966208,147.73335,5397,Chestnut-shouldered Goshawk
Pomarea mira,-9.363697,-140.10138,110035,Ua Pou Monarch
Zoothera turipavae,-9.627876,160.04027,115281,Guadalcanal Thrush
Treron psittaceus,-8.408682,127.169464,3404,Timor Green-Pigeon
Lalage conjuncta,-1.482989,149.56787,201109,Mussau Triller
Hypsipetes parvirostris,-11.410206,43.360844,204525,Grande Comore Bulbul
Acrocephalus sorghophilus,40.079723,116.54641,117185,Streaked Reed Warbler
Emberizoides duidae,3.301159,-65.582946,10554,Duida Grass-Finch
Lobotos lobatus,6.280982,-0.524237,201106,Ghana Cuckooshrike
Otus pauliani,-11.751579,43.35617,20291,Comoro Scops-Owl
Ptilinopus huttoni,-27.618862,-144.33421,2836,Rapa Fruit Dove
Phapitreron cinereiceps,5.106217,119.863425,3476,Tawitawi Brown-Dove
Pseudotriccus simplex,-16.29262,-67.82647,17222,Hazel-fronted Pygmy-Tyrant
Eclectus riedeli,-7.843396,131.33827,1506167,Tanimbar Eclectus
Polioptila facilis,1.2064,-70.232,979908,Rio Negro Gnatcatcher
Hypsipetes nicobariensis,7,93.815755,103207,Nicobar Bulbul
Cincloramphus grosvenori,-5.183263,151.497454,980140,Bismarck Thicketbird
Rukia ruki,7.412577,151.843,17529,Teardrop White-eye
Scleroptila whytei,-13.08334,33.13949,1423394,Whyte's Francolin
Lophophorus sclateri,28.078695,96.528747,1177,Sclater's Monal
Poodytes albolimbatus,-7.603645,141.3116,980135,Fly River Grassbird
Poospiza goeringi,7.954126,-72.07142,558581,Slaty-backed Hemispingus
Scolopax rosenbergii,-5.792449,143.97377,112330,New Guinea Woodcock
Turnix olivii,-17,145.3,20902,Buff-breasted Buttonquail
Crossleyia tenebrosa,-14.460812,49.566847,1586079,Dusky Tetraka
Grallaria griseonucha,8.6164,-71.034,116898,Gray-naped Antpitta
Otus siaoensis,2.768839,125.403456,108056,Siau Scops-Owl
Zosterops meeki,-11.4393,153.3741,17460,Tagula White-eye
Asthenes coryi,8.836392,-70.82886,72537,Ochre-browed Thistletail
Syndactyla guttulata,10.5259,-66.81798,11455,Guttulate Foliage-gleaner
Ailuroedus melanocephalus,-9.131167,147.69325,512105,Black-capped Catbird
Ceyx sangirensis,3.562289,125.547279,1435802,Sangihe Dwarf Kingfisher
Pterorhinus galbanus,24.418226,93.759575,1289408,Yellow-throated Laughingthrush
Amblyornis subalaris,-9.131167,147.69325,14537,Streaked Bowerbird
Sericulus bakeri,-4.7079,145.40683,14546,Fire-maned Bowerbird
Stiphrornis pyrrholaemus,0.259765,9.317748,1429174,Olive-backed Forest Robin
Corypha sharpii,9.936287,44.103507,1583753,Russet Lark
Cyornis camarinensis,13.659081,123.372665,1423846,Rufous-breasted Blue Flycatcher
Melipotes carolae,-2.572722,138.717194,144713,Foja Honeyeater
Cyornis herioti,13.659081,123.372665,12848,Blue-breasted Blue Flycatcher
Ptiloprora mayri,-3.3,141.72,12571,Mayr's Honeyeater
