taxon_id,Name,Common name,Latitude,Longitude
197282,Heteragrion chlorotaeniatum,Heteragrion chlorotaeniatum,0.83,-66.17
197425,Epipleoneura fernandezi,Epipleoneura fernandezi,2.234,-54.45
197410,Epipotoneura machadoi,Epipotoneura machadoi,-3.65,-52.37
197434,Palaemnema melanocauda,Palaemnema melanocauda,10.34769,-83.934408
197445,Palaemnema azupizui,Palaemnema azupizui,,
197575,Telebasis divaricata,Telebasis divaricata,,
197593,Telebasis flammeola,Telebasis flammeola,-21.815625,-41.293412
197576,Telebasis celiovallei,Telebasis celiovallei,-21.815625,-41.293412
197525,Teinopodagrion muzanum,Teinopodagrion muzanum,,
197579,Telebasis leptocyclia,Telebasis leptocyclia,,
503025,Odontogomphus donnellyi,Odontogomphus donnellyi,-17.61667,145.6667
562561,Heliogomphus gracilis,Heliogomphus gracilis,-1.733333,100.9
197654,Mesamphiagrion tepuianum,Mesamphiagrion tepuianum,,
197648,Mesoleptobasis cyanolineata,Mesoleptobasis cyanolineata,,
197715,Argia smithiana,Argia smithiana,-21.693338,-56.94448
93160,Aciagrion rarum,Aciagrion rarum,,
97620,Chlorogomphus speciosus,Chlorogomphus speciosus,,
99589,Drepanosticta lepyricollis,Drepanosticta lepyricollis,,
108513,Paragomphus pumilio,Paragomphus pumilio,30.551101,32.299693
98232,Coeliccia furcata,Coeliccia furcata,24.6116,97.607
110859,Pseudagrion symoensii,Pseudagrion symoensii,,
197479,Oreiallagma quadricolor,Oreiallagma quadricolor,,
503048,Hemicordulia flava,Hemicordulia flava,-22.3575,118.28694
562793,Trigomphus svenhedini,Trigomphus svenhedini,,
562851,Macromia eurynome,Macromia eurynome,-7.735,146.496
562858,Macromia melpomene,Macromia melpomene,-4.033,139.787
562807,Chlorogomphus infuscatus,Chlorogomphus infuscatus,,
562859,Macromia mnemosyne,Macromia mnemosyne,-2.5315,112.9496
562862,Macromia terpsichore,Macromia terpsichore,-1.763,136.179
562863,Macromia whitei,Macromia whitei,,
562868,Idionyx asahinai,Idionyx asahinai,,
562877,Lauromacromia dubitalis,Lauromacromia dubitalis,2.23333,-54.46667
562878,Lauromacromia flaviae,Lauromacromia flaviae,,
562872,Idionyx orchestra,Idionyx orchestra,-9.963609,120.634924
562888,Neocordulia biancoi,Neocordulia biancoi,0.97,-65.95
562898,Neocordulia setifera,Neocordulia setifera,-15.3842,-39.5722
562899,Nesocordulia flavicauda,Nesocordulia flavicauda,,
562939,Guadalca insularis,Guadalca insularis,-9.433,159.833
562930,Aeschnosoma hamadae,Aeschnosoma hamadae,,
562948,Hemicordulia erico,Hemicordulia erico,5.33584,163.014
562961,Navicordulia errans,Navicordulia errans,-18.3,-43
562962,Navicordulia kiautai,Navicordulia kiautai,,
562977,Procordulia moroensis,Procordulia moroensis,,
562979,Procordulia rantemario,Procordulia rantemario,,
562964,Navicordulia longistyla,Navicordulia longistyla,,
562981,Procordulia sylvia,Procordulia sylvia,-2.51071,140.52702
563188,Oligoclada hypophane,Oligoclada hypophane,0.83,-66.17
561016,Indolestes risi,Indolestes risi,-7.116,139.395
561018,Lestes auripennis,Lestes auripennis,,
561039,Ceylonosticta inferioreducta,Ceylonosticta inferioreducta,6.92,80.51
561063,Drepanosticta barbatula,Drepanosticta barbatula,,
561064,Drepanosticta bartelsi,Drepanosticta bartelsi,-7.445,107.3667
561065,Drepanosticta batanta,Drepanosticta batanta,-0.87297,130.46253
561071,Drepanosticta bispina,Drepanosticta bispina,-0.914444,100.4625
561082,Drepanosticta dorcadion,Drepanosticta dorcadion,-3.52488,139.06808
561072,Drepanosticta burbachi,Drepanosticta burbachi,,
561075,Drepanosticta clados,Drepanosticta clados,8.9333,124.8667
561101,Drepanosticta kosterini,Drepanosticta kosterini,1.2344,110.105
561127,Drepanosticta robusta,Drepanosticta robusta,-5.587,133.065
561133,Drepanosticta silenus,Drepanosticta silenus,5.97822,100.89262
562275,Cephalaeschna mattii,Cephalaeschna mattii,,
561175,Protosticta proboscis,Protosticta proboscis,11.641,107.742
561160,Protosticta bivittata,Protosticta bivittata,-5.06462,119.71932
561167,Protosticta linduensis,Protosticta linduensis,-2.933,120.1
561189,Sinosticta hainanense,Sinosticta hainanense,,
561222,Argiolestes macrostylis,Argiolestes macrostylis,-5.28184,138.2703
561223,Argiolestes muller,Argiolestes muller,-5.72919,142.26328
561240,Metagrion coartans,Metagrion coartans,-0.08175,130.75505
561242,Metagrion convergens,Metagrion convergens,-0.86259,134.06169
561243,Metagrion fontinale,Metagrion fontinale,-28.2411,152.996
561260,Nesolestes angydna,Nesolestes angydna,,
561263,Nesolestes pulverulans,Nesolestes pulverulans,-21.2558,47.4119
561273,Podopteryx roseonotata,Podopteryx roseonotata,-5.096,137.445
561456,Heteragrion thais,Heteragrion thais,-21.1869,-43.9761
561465,Philogenia marinasilva,Philogenia marinasilva,-22.856667,-44.448611
561506,Tatocnemis sinuatipennis,Tatocnemis sinuatipennis,-21.2649,47.410469
561504,Tatocnemis olsufieffi,Tatocnemis olsufieffi,,
561508,Cnemisticta angustilobata,Cnemisticta angustilobata,-5.446,151.464
561509,Cnemisticta latilobata,Cnemisticta latilobata,-7.18103,156.8995
561519,Selysioneura capreola,Selysioneura capreola,-2.58,140.65
561522,Selysioneura drymobia,Selysioneura drymobia,-10.65,152.817
561520,Selysioneura cervicornu,Selysioneura cervicornu,-0.83458,130.715
561512,Isosticta humilior,Isosticta humilior,-21.14902,165.3235
561529,Tanymecosticta capillaris,Tanymecosticta capillaris,-7.5833,131.6
561530,Tanymecosticta filiformis,Tanymecosticta filiformis,-5.614,151.408
561537,Archboldargia mirifica,Archboldargia mirifica,-3.9167,136.35
