taxon_id,Name,Common name,Latitude,Longitude
1473397,Poyntonophrynus grindleyi,Poyntonophrynus grindleyi,,
1473399,Guibemantis razoky,Guibemantis razoky,,
1473402,Blommersia dupreezi,Blommersia dupreezi,,
1473403,Phrynobatrachus rillingi,Phrynobatrachus rillingi,,
1473404,Hynobius miyazakiensis,Hynobius miyazakiensis,,
1473405,Hynobius amabensis,Hynobius amabensis,,
1473407,Litoria hastula,Litoria hastula,,
1473406,Theloderma pseudohorridum,Theloderma pseudohorridum,,
1473408,Gracixalus patkaiensis,Gracixalus patkaiensis,,
1473409,Amolops siju,Amolops siju,,
1473411,Stefania maccullochi,Stefania maccullochi,,
1473412,Centrolene camposi,Centrolene camposi,,
1473413,Pristimantis sagedunneae,Pristimantis sagedunneae,,
1473415,Pristimantis numbala,Pristimantis numbala,,
1473416,Caecilia yaigoje,Caecilia yaigoje,,
1473417,Caecilia wilkinsoni,Caecilia wilkinsoni,,
1473418,Bolitoglossa muisca,Bolitoglossa muisca,,
1473425,Liuixalus shiwandashan,Liuixalus shiwandashan,,
1473430,Nidirana chongqingensis,Nidirana chongqingensis,,
1473437,Pristimantis campinarana,Pristimantis campinarana,,
1473438,Rhinella amboroensis,Rhinella amboroensis,,
24614,Oreolalax xiangchengensis,Xiangcheng Toothed Toad,31.7069,105.7206
717624,Odorrana arunachalensis,Odorrana arunachalensis,,
25748,Ptychadena broadleyi,Broadleyas Ridged Frog,-12.455818,31.291168
22814,Telmatobius atacamensis,Telmatobius atacamensis,-23.9,-66.35
1402607,Stumpffia lynnae,Stumpffia lynnae,-18.18,47.31
555067,Limnonectes quangninhensis,Limnonectes quangninhensis,21.0722,107.5883
25882,Amolops jinjiangensis,Amolops jinjiangensis,,
21705,Atelopus nepiozomus,Gualecenita Stubfoot Toad,-4.55,-79.1333
1357185,Boulenophrys nankunensis,Boulenophrys nankunensis,29.653828,119.702323
1357174,Boulenophrys daiyunensis,Boulenophrys daiyunensis,29.653828,119.702323
787631,Leptobrachella yunkaiensis,Leptobrachella yunkaiensis,22.455,107.048
1357156,Boulenophrys insularis,Boulenophrys insularis,29.653828,119.702323
199800,Tylototriton dabienicus,Dabie Mountain Crocodile Newt,,
142688,Tylototriton broadoridgus,Sangzhi Crocodile Newt,,
24621,Oreolalax granulosus,Spiny Warty Toothed Toad,24.50633,100.930557
476246,Cornufer adiastolus,Cornufer adiastolus,-5.4976311,151.4897628
476284,Cornufer caesiops,Cornufer caesiops,-5.4459816,151.4637631
476459,Cornufer myersi,Cornufer myersi,-8.16829,159.54564
476254,Cornufer mimicus,Cornufer mimicus,-5.4407108,150.5060653
476337,Cornufer macrops,Cornufer macrops,-6.6318216,155.6343962
555054,Pristimantis ashaninka,Asháninka Rubber Frog,,
476253,Cornufer parilis,Kolopakisa Sticky-toed Frog,,
476344,Cornufer trossulus,Cornufer trossulus,-8.15878,159.54599
476364,Cornufer vogti,Cornufer vogti,,
1545202,Zhangixalus thaoae,Zhangixalus thaoae,,
1545204,Scinax ushiniauae,Scinax ushiniauae,,
1545205,Kenyaphrynoides vulcani,Kenyaphrynoides vulcani,,
1545206,Hylophorbus monophonus,Hylophorbus monophonus,,
1545207,Hylophorbus maculatus,Hylophorbus maculatus,,
1545208,Hylophorbus lengguru,Hylophorbus lengguru,,
1545211,Atelopus calima,Atelopus calima,,
1545212,Zhangixalus yunnanensis,Zhangixalus yunnanensis,,
1545213,Raorchestes hekouensis,Raorchestes hekouensis,,
1545216,Brachytarsophrys wenshanensis,Brachytarsophrys wenshanensis,,
1545217,Boulenophrys elongata,Boulenophrys elongata,,
1545218,Leptobrachella guinanensis,Leptobrachella guinanensis,,
1545219,Adenomera albarena,Adenomera albarena,,
1545221,Pristimantis paulogabrieli,Pristimantis paulogabrieli,,
517458,Sclerophrys vittata,Sclerophrys vittata,2.2362,32.1361
517058,Xenopus allofraseri,Xenopus allofraseri,3.46761,8.63758
134396,Nyctimystes kuduki,Nyctimystes kuduki,-6.504333,145.031917
517050,Sclerophrys buchneri,Sclerophrys buchneri,,
142679,Sanguirana tipanan,Brown and Alcala's Sierra Madres frog,15.72941,121.4038
65508,Gephyromantis runewsweeki,Gephyromantis runewsweeki,-21.337868,47.410067
476710,Leptopelis anebos,Leptopelis anebos,-3.56979,28.66113
476440,Copiula guttata,Copiula guttata,-6.922683,145.067133
70562,Cophixalus cupricarenus,Cophixalus cupricarenus,-11.3530228,154.2237256
70923,Rhacophorus marmoridorsum,Rhacophorus marmoridorsum,,
66555,Ceuthomantis aracamuni,Cerro Aracamuni Emerald-barred Frog,1.476667,-65.83528
70577,Cryptobatrachus conditus,Cryptobatrachus conditus,,
135103,Ichthyophis weberi,Malatgan River Caecilian,9.7254,118.648
26828,Batrachuperus karlschmidti,Chiala Mountain Salamander,,
555132,Boana palaestes,Rio Apurimac Tree Frog,-12.666667,-73.9
134771,Osornophryne cofanorum,Osornophryne cofanorum,-1.35994,-78.114765
70593,Duttaphrynus kiphirensis,Kiphire's Toad,,
199762,Oreobates machiguenga,Oreobates machiguenga,,
66644,Pristimantis diaphonus,Rio Calima Robber Frog,3.88412,-76.57386
