ORIGIN_Latitude,ORIGIN_Longitude,DEST_Latitude,DEST_Longitude,cumsum_proportion
39.2522239685,-76.712348938,31.4262762169,-98.7242076352,1
32.7755626967,-87.0473953195,37.2520980835,-119.1784362793,1
39.2522239685,-76.712348938,47.6319416667,-122.2950138889,1
37.87277,-121.9197083333,37.8730779017,-121.9427290067,1
44.8101429881,-123.560701876,38.8966824,-77.063008,1
29.7137652266,-95.3920007758,36.0411502225,-90.6647218831,1
30.1281916667,-81.4327383333,32.8231277466,-117.0743560791,1
39.2522239685,-76.712348938,47.6318055556,-122.2954777778,1
43.450897127,-80.5294418335,43.482854,-80.5337185,1
40.24878,-75.3366166667,42.593547821,-71.5827713013,1
43.5548633333,-80.2238083333,43.4731314741,-79.9316849016,1
34.1898946446,-118.2453891778,33.7135820525,-118.2840223389,1
39.2522239685,-76.712348938,46.8553972222,-120.4865583333,1
43.80133365,-72.25134545,40.901005,-74.0050277833,1
44.8101429881,-123.560701876,42.8960117558,-71.311024055,1
37.64043667,-77.6705588889,38.926345,-77.3419283333,1
39.2522239685,-76.712348938,60.6600164331,-151.2932361302,1
43.80133365,-72.25134545,40.8667033333,-74.00135,1
36.1767288514,-79.8763526438,35.9440844807,-79.3160713084,1
44.8101429881,-123.560701876,45.806232391,-122.7631474965,1
37.64043667,-77.6705588889,38.9265116667,-77.34195,1
37.64043667,-77.6705588889,38.9265416667,-77.3416366667,1
43.80133365,-72.25134545,40.8663416667,-74.0002361117,1
20.3477055884,-74.5696281449,20.0769037382,-75.439453125,1
37.64043667,-77.6705588889,38.9282133333,-77.3414783333,1
30.1281916667,-81.4327383333,21.1470947877,-89.4566110854,1
37.64043667,-77.6705588889,38.9263383333,-77.3418666667,1
23.856388092,-106.7050018311,23.907765,-106.34978,1
33.126612,-97.109358,30.2380883154,-97.7034340334,1
33.126612,-97.109358,30.2379631726,-97.7032838382,1
29.650908727,-82.369796922,8.4606575591,-83.4583718496,1
34.1898946446,-118.2453891778,34.1105860798,-117.7154991032,1
23.856388092,-106.7050018311,23.1954068546,-106.426341796,1
23.856388092,-106.7050018311,21.0407933333,-89.6268283333,1
29.631219,-82.311282,29.7215133333,-84.74453,1
20.5226389,-98.7456794456,23.616681669,-109.9122507506,1
30.1281916667,-81.4327383333,34.97048791,-106.70635521,1
32.7755626967,-87.0473953195,2.2966783333,31.4180233333,1
30.1281916667,-81.4327383333,25.9569783333,-80.4241633333,1
38.9479930556,-95.2641836781,38.77734375,-90.4083023071,1
38.9479930556,-95.2641836781,20.51632,-100.394255,1
33.126612,-97.109358,32.8010537047,-97.4531698599,1
29.631219,-82.311282,28.44177,-81.541272,1
23.856388092,-106.7050018311,20.9179074456,-100.7275699675,1
48.7938492844,-123.77019474,48.7389321091,-123.5558651487,1
39.080665907,-84.1045093549,43.0341168249,-76.1367577018,1
37.64043667,-77.6705588889,37.9583543027,-76.4829344955,1
61.0050354004,-135.2019195557,64.5035916148,-138.2213747689,1
33.126612,-97.109358,35.5593133333,-78.1059721667,1
33.126612,-97.109358,32.6049575806,-92.0515136719,1
32.7755626967,-87.0473953195,42.3334283333,-71.1608195,1
28.5873612235,-81.1554760284,34.0598770555,-118.9326882362,1
39.2522239685,-76.712348938,32.8076100117,-117.2648036667,1
20.390333098,-102.9282448392,18.9627922158,-99.0745782852,1
37.64043667,-77.6705588889,38.9002045078,-77.5134322674,1
-25.5981481774,-54.4842383333,-19.9374967,-40.6006137,1
-33.4062391791,-70.6239463761,-33.0490037666,-71.0051467066,1
37.64043667,-77.6705588889,38.9004791676,-77.5130292474,1
33.126612,-97.109358,40.3309266176,-74.7576060503,1
32.6721484259,-97.2421954126,35.400548687,-78.7830428034,1
39.2522239685,-76.712348938,34.0667866543,-118.1668669359,1
32.7755626967,-87.0473953195,47.52381428,-116.89006254,1
37.64043667,-77.6705588889,38.9144148818,-77.520826757,1
43.80133365,-72.25134545,40.8662616667,-74.0014583333,1
40.5018862811,-75.0035624875,44.863145,-73.9021023,1
37.64043667,-77.6705588889,38.9140338404,-77.5217774325,1
39.2522239685,-76.712348938,19.1295166667,-103.3681883333,1
32.7755626967,-87.0473953195,45.2514171,-75.8482004,1
44.7429524504,-79.9520971617,42.9714083333,-72.5524833333,1
44.2117521954,-72.3249928058,28.416302,-81.709259,1
30.4204765,-91.1716308594,22.8428343427,72.0182043514,1
33.126612,-97.109358,30.1903825717,-97.6131624054,1
44.2117521954,-72.3249928058,30.1903825717,-97.6131624054,1
30.4204765,-91.1716308594,22.8209477,72.0571863,1
43.80133365,-72.25134545,40.8663216667,-74.0015416667,1
32.7755626967,-87.0473953195,28.3719726328,-81.5154273026,1
-41.0900957,174.7811621,-36.7927334475,174.7335322201,1
43.80133365,-72.25134545,40.86623,-74.0014722217,1
39.080665907,-84.1045093549,35.9575076848,-83.9284517668,1
32.527924,-94.793278249,34.57357,-86.6212616667,1
39.2522239685,-76.712348938,44.8383637694,11.662052013,1
32.527924,-94.793278249,38.8291269526,-77.072378411,1
38.1238377892,-122.1659240263,35.517658,-120.3314296,1
32.7755626967,-87.0473953195,28.3719726328,-81.5154273026,1
37.76,-122.4477005,38.2840916667,-122.45617,1
32.527924,-94.793278249,40.7418159955,-74.1744293646,1
38.1238377892,-122.1659240263,34.5428083333,-117.3380666667,1
32.527924,-94.793278249,40.7416286391,-74.1745186529,1
29.631219,-82.311282,30.3644472222,-87.1294111111,1
43.80133365,-72.25134545,40.8662616667,-74.0017861167,1
38.1238377892,-122.1659240263,34.542725,-117.3381883333,1
30.4204765,-91.1716308594,22.6698332545,72.3385406301,1
25.7594451904,-80.2724990845,37.277217865,-76.7453384399,1
23.856388092,-106.7050018311,16.744474432,-92.6177615672,1
37.76,-122.4477005,38.4480802389,-122.6274000575,1
51.0853534868,15.0790432705,-36.7926738423,174.7333937511,1
32.7755626967,-87.0473953195,28.3719726328,-81.5154273026,1
